ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,75,6900000000,Hà Nội,1.0,3.0,4.0
Nhà ở,78,10500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,79,15000000000,Hà Nội,1.0,4.0,2.0
Nhà ở,77,7400000000,Hà Nội,1.0,6.0,
Căn hộ/Chung cư,80,4200000000,Hà Nội,6.0,2.0,2.0
Nhà ở,80,18400000000,Hà Nội,1.0,4.0,
Nhà ở,80,19000000000,Hà Nội,1.0,4.0,
Nhà ở,75,15500000000,Hà Nội,1.0,4.0,3.0
Căn hộ/Chung cư,80,3700000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,80,11000000,Hà Nội,6.0,1.0,2.0
Nhà ở,81,6400000000,Hà Nội,1.0,3.0,
Phòng trọ,129,2800000,Hà Nội,,,
Nhà ở,121,6800000000,Hà Nội,1.0,4.0,3.0
Căn hộ/Chung cư,74,3750000000,Hà Nội,6.0,2.0,3.0
Nhà ở,81,5600000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,8350000000,Hà Nội,1.0,3.0,
Căn hộ/Chung cư,79,6650000000,Hà Nội,6.0,3.0,
Nhà ở,75,6900000000,Hà Nội,1.0,3.0,4.0
Căn hộ/Chung cư,80,15000000,Hà Nội,4.0,4.0,2.0
Nhà ở,80,5900000000,Hà Nội,1.0,4.0,4.0
Căn hộ/Chung cư,77,3550000000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,10900000000,Hà Nội,1.0,4.0,5.0
Nhà ở,121,8900000000,Hà Nội,1.0,6.0,
Nhà ở,121,13000000000,Hà Nội,1.0,4.0,4.0
Nhà ở,78,12800000000,Hà Nội,1.0,3.0,
Phòng trọ,86,1200000,Hà Nội,,,
Nhà ở,78,10800000000,Hà Nội,2.0,2.0,3.0
Nhà ở,121,9000000000,Hà Nội,1.0,4.0,
Nhà ở,75,9500000000,Hà Nội,1.0,4.0,5.0
Nhà ở,86,6000000000,Hà Nội,1.0,6.0,7.0
Nhà ở,79,15000000000,Hà Nội,1.0,3.0,3.0
Nhà ở,121,7500000000,Hà Nội,1.0,4.0,4.0
Đất,129,11000000000,Hà Nội,1.0,,
Nhà ở,121,42000000000,Hà Nội,1.0,11.0,7.0
Nhà ở,75,8500000000,Hà Nội,1.0,5.0,5.0
Nhà ở,75,8100000000,Hà Nội,1.0,4.0,4.0
Phòng trọ,80,4700000,Hà Nội,,,
Nhà ở,86,6595000000,Hà Nội,1.0,3.0,4.0
Nhà ở,86,6500000000,Hà Nội,1.0,4.0,5.0
Nhà ở,79,8600000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,22900000000,Hà Nội,1.0,5.0,4.0
Nhà ở,76,23900000000,Hà Nội,1.0,5.0,6.0
Căn hộ/Chung cư,76,3200000000,Hà Nội,6.0,2.0,1.0
Nhà ở,80,7350000000,Hà Nội,1.0,3.0,4.0
Căn hộ/Chung cư,79,6300000000,Hà Nội,6.0,3.0,2.0
Nhà ở,78,15500000000,Hà Nội,1.0,4.0,6.0
Đất,121,17000000000,Hà Nội,1.0,,
Nhà ở,74,19500000000,Hà Nội,1.0,11.0,7.0
Căn hộ/Chung cư,79,5550000000,Hà Nội,6.0,3.0,2.0
"Văn phòng, Mặt bằng kinh doanh",79,1111111,Hà Nội,1.0,,
Nhà ở,129,6500000000,Hà Nội,1.0,6.0,4.0
"Văn phòng, Mặt bằng kinh doanh",86,12000000,Hà Nội,1.0,,
Nhà ở,86,7000000000,Hà Nội,1.0,4.0,4.0
Đất,129,4800000000,Hà Nội,1.0,,
Phòng trọ,77,4300000,Hà Nội,,,
Nhà ở,121,12000000000,Hà Nội,1.0,2.0,2.0
Căn hộ/Chung cư,77,9000000,Hà Nội,4.0,2.0,1.0
Nhà ở,80,7500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,80,6500000000,Hà Nội,1.0,4.0,
Căn hộ/Chung cư,75,9600000000,Hà Nội,6.0,3.0,2.0
Nhà ở,76,14450000000,Hà Nội,1.0,3.0,4.0
Nhà ở,78,8800000000,Hà Nội,1.0,3.0,6.0
Căn hộ/Chung cư,79,6700000000,Hà Nội,6.0,2.0,2.0
Nhà ở,84,15500000000,Hà Nội,1.0,1.0,
Đất,83,5790000000,Hà Nội,1.0,,
Nhà ở,76,39000000000,Hà Nội,1.0,4.0,
Nhà ở,81,26000000000,Hà Nội,1.0,6.0,5.0
Nhà ở,80,9000000,Hà Nội,1.0,3.0,
Nhà ở,121,10500000000,Hà Nội,1.0,3.0,3.0
Căn hộ/Chung cư,79,5200000000,Hà Nội,6.0,2.0,2.0
Phòng trọ,80,1000000,Hà Nội,,,
Nhà ở,121,9400000000,Hà Nội,1.0,4.0,4.0
Căn hộ/Chung cư,121,4500000,Hà Nội,4.0,1.0,1.0
Nhà ở,78,8500000000,Hà Nội,1.0,3.0,
Nhà ở,78,9000000,Hà Nội,1.0,3.0,4.0
Đất,92,1700000000,Hà Nội,1.0,,
Nhà ở,76,6000000000,Phố Minh Khai,1.0,4.0,4.0
Nhà ở,75,22000000000,Hà Nội,1.0,6.0,3.0
Nhà ở,79,13100000000,Hà Nội,1.0,9.0,5.0
Nhà ở,79,9800000000,Hà Nội,1.0,6.0,4.0
Nhà ở,74,14000000000,Hà Nội,1.0,8.0,4.0
Nhà ở,75,10500000000,Hà Nội,1.0,3.0,3.0
Phòng trọ,75,3100000,Hà Nội,,,
Nhà ở,77,8600000000,Hà Nội,1.0,3.0,4.0
Phòng trọ,80,4500000,Hà Nội,,,
Phòng trọ,121,1700000,Hà Nội,,,
"Văn phòng, Mặt bằng kinh doanh",80,19000000,Hà Nội,1.0,,
Căn hộ/Chung cư,121,8000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,79,6860000000,Hà Nội,6.0,2.0,
Căn hộ/Chung cư,77,1700000000,Hà Nội,5.0,1.0,1.0
Đất,80,35000000,Hà Nội,6.0,,
Nhà ở,121,8100000000,Hà Nội,1.0,3.0,4.0
Nhà ở,79,51000000000,Hà Nội,1.0,11.0,7.0
Nhà ở,77,5800000000,Hà Nội,1.0,3.0,
Căn hộ/Chung cư,84,3550000000,Hà Nội,6.0,2.0,2.0
Nhà ở,79,8400000000,Hà Nội,1.0,3.0,3.0
Nhà ở,79,26500000000,Hà Nội,1.0,6.0,4.0
Căn hộ/Chung cư,77,4600000000,Hà Nội,5.0,2.0,1.0
Căn hộ/Chung cư,121,6900000000,Hà Nội,6.0,3.0,2.0
Nhà ở,79,7750000000,Hà Nội,1.0,3.0,4.0
Nhà ở,121,14690000000,Hà Nội,1.0,11.0,
Nhà ở,121,8000000000,Hà Nội,1.0,6.0,
Nhà ở,121,7950000000,Hà Nội,1.0,4.0,3.0
Phòng trọ,77,4000000,Hà Nội,,,
Nhà ở,75,4797000000,Hà Nội,1.0,3.0,3.0
Phòng trọ,75,2400000,Hà Nội,,,
Nhà ở,74,7980000000,Hà Nội,1.0,3.0,4.0
Nhà ở,81,5000000000,Hà Nội,1.0,3.0,4.0
Nhà ở,75,19200000000,Hà Nội,1.0,6.0,5.0
Đất,81,8900000000,Hà Nội,1.0,,
Nhà ở,75,12500000000,Hà Nội,1.0,4.0,3.0
Nhà ở,76,9000000,Hà Nội,1.0,3.0,2.0
Nhà ở,76,14500000000,Hà Nội,1.0,3.0,3.0
Nhà ở,76,7980000000,Hà Nội,1.0,4.0,3.0
Đất,87,1870000000,Hà Nội,1.0,,
Nhà ở,76,4850000000,Hà Nội,1.0,3.0,2.0
Nhà ở,76,8500000000,Hà Nội,1.0,3.0,4.0
Căn hộ/Chung cư,77,4960000000,Hà Nội,6.0,3.0,2.0
Nhà ở,78,3400000000,Hà Nội,4.0,1.0,2.0
Căn hộ/Chung cư,86,4750000000,Hà Nội,6.0,3.0,2.0
Nhà ở,121,7890000000,Hà Nội,1.0,4.0,4.0
Căn hộ/Chung cư,77,8900000000,Hà Nội,6.0,3.0,2.0
Nhà ở,129,7800000000,Hà Nội,1.0,3.0,
Căn hộ/Chung cư,129,8050000000,Hà Nội,5.0,2.0,2.0
Nhà ở,81,7950000000,Hà Nội,1.0,3.0,
"Văn phòng, Mặt bằng kinh doanh",75,5500000,Hà Nội,1.0,,
Phòng trọ,75,1900000,Hà Nội,,,
"Văn phòng, Mặt bằng kinh doanh",79,7000000,Hà Nội,1.0,,
Nhà ở,74,10200000000,Hà Nội,1.0,4.0,3.0
Phòng trọ,80,2200000,Hà Nội,,,
Nhà ở,75,6125000000,Hà Nội,1.0,3.0,
Phòng trọ,75,2500000,Hà Nội,,,
Căn hộ/Chung cư,80,14500000,Hà Nội,6.0,3.0,2.0
Nhà ở,81,38000000000,Hà Nội,1.0,4.0,3.0
Đất,123,2750000000,Hà Nội,1.0,,
Căn hộ/Chung cư,75,9000000,Hà Nội,5.0,2.0,2.0
Căn hộ/Chung cư,86,6400000000,Hà Nội,6.0,3.0,2.0
Nhà ở,73,18950000000,Hà Nội,1.0,3.0,3.0
Nhà ở,79,29800000000,Hà Nội,1.0,6.0,7.0
Nhà ở,86,4750000000,Hà Nội,1.0,3.0,2.0
Căn hộ/Chung cư,121,13500000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,78,7500000,Hà Nội,4.0,1.0,1.0
Nhà ở,75,7950000000,Hà Nội,1.0,3.0,2.0
Nhà ở,77,20000000,Hà Nội,1.0,6.0,4.0
Căn hộ/Chung cư,80,1000000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,121,950000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,74,1000000000,Hà Nội,2.0,2.0,2.0
Căn hộ/Chung cư,75,1000000000,Hà Nội,6.0,2.0,2.0
Phòng trọ,84,2000000,Hà Nội,,,
Nhà ở,81,16400000000,Hà Nội,1.0,4.0,3.0
Phòng trọ,121,3500000,Hà Nội,,,
Nhà ở,121,8000000,Hà Nội,1.0,4.0,
Căn hộ/Chung cư,75,4700000000,Hà Nội,6.0,3.0,1.0
Đất,81,17900000000,Hà Nội,1.0,,
Phòng trọ,79,6000000,Hà Nội,,,
Phòng trọ,121,4000000,Hà Nội,,,
Nhà ở,81,22000000,Hà Nội,1.0,2.0,
Phòng trọ,79,2500000,Hà Nội,,,
Phòng trọ,80,3000000,Hà Nội,,,
"Văn phòng, Mặt bằng kinh doanh",77,4000000,Hà Nội,1.0,,
Nhà ở,86,9000000000,Hà Nội,1.0,3.0,2.0
Nhà ở,76,24800000000,Hà Nội,1.0,1.0,
Phòng trọ,82,1300000,Hà Nội,,,
Phòng trọ,121,5250000,Hà Nội,,,
Căn hộ/Chung cư,75,8500000,Hà Nội,6.0,1.0,1.0
Nhà ở,75,6980000000,Hà Nội,1.0,3.0,3.0
"Văn phòng, Mặt bằng kinh doanh",121,2500000,Hà Nội,1.0,,
Nhà ở,78,7000000,Hà Nội,1.0,2.0,3.0
Nhà ở,86,7000000000,Hà Nội,1.0,3.0,3.0
Căn hộ/Chung cư,76,3180000000,Hà Nội,6.0,2.0,2.0
Nhà ở,86,15900000000,Hà Nội,1.0,1.0,
"Văn phòng, Mặt bằng kinh doanh",121,2500000,Hà Nội,1.0,,
Nhà ở,81,7650000000,Hà Nội,1.0,3.0,4.0
